,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,label
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4390537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27402607,1
1,0.0,0.0,0.0,0.0,0.0,0.43433475,0.02576981,0.0,0.0,0.0,0.4414786,0.17639914,0.0,0.0,0.124902025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0346324,0.0,0.7384788,0.040517334,0.87455857,0.0,0.71197873,0.0,0.0,0.0,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4464499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27569908,1
3,3.997625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9102404,6.1424127,2.599107,0.0,0.0,0.0,2.2420726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.477211,1
4,1.8382322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5840771,2.4320412,0.9960998,0.0,0.0,0.0,1.0178977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.704514,1
5,0.0,0.0,0.0,0.0,0.0,0.55036885,0.051794358,0.0,0.0,0.0,0.55558866,0.10402575,0.0,0.0,0.1609181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030152641,0.0,0.7210691,0.0,0.9227216,0.0,0.7426895,0.0,0.0,0.0,1
6,0.0,0.0,0.8931177,0.0,0.0,0.0,0.35069004,0.0,0.0,0.0,0.0,1.7332841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3396912,0.0,0.44611666,0.0,2.1641436,1.5513679,1.0087363,0.7224679,0.0,0.0,0.0,0.19587266,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08856699,0.07760413,0.0,0.0,0.0,0.0,0.0,0.0043048635,0.0,0.0,0.0,0.0,0.0,0.0,0.17312819,0.05092874,0.04329712,0.0,0.045311935,0.0,0.0,0.0,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09188521,0.078195676,0.0,0.0,0.0,0.0,0.0,0.002533473,0.0,0.0,0.0,0.0,0.0,0.0,0.17491885,0.04785261,0.04558243,0.0,0.04407297,0.0,0.0,0.0,1
9,3.5451672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4481385,5.394659,2.2732947,0.0,0.0,0.0,1.9810659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.722813,1
10,0.0,0.0,0.0,0.0,0.0,0.023410164,0.0,0.0,0.0,0.0,0.17624748,0.022838667,0.0,0.0,0.06308025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13159712,0.06656615,0.113054484,0.0,0.029962689,0.0,0.0,0.0,1
11,0.0,0.0,0.0,0.0,0.0,0.03174293,0.0,0.0,0.0,0.0,0.16449131,0.048773527,0.0,0.0,0.047248393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15508056,0.046531245,0.104493186,0.0,0.023624856,0.0,0.0,0.0,1
12,1.8338103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5837057,2.43113,0.99455273,0.0,0.0,0.0,1.0127239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7027886,1
13,0.0,0.0,0.08940646,0.0,0.0,0.0,0.0235036,0.0,0.0,0.0,0.0,0.51027554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4366448,0.0,0.0204858,0.0,0.6354084,0.4060493,0.37355635,0.0,0.32267082,0.0,0.0,0.022170529,1
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08347222,0.067233875,0.0,0.0,0.0,0.0,0.0,0.009093069,0.0,0.0,0.0,0.0,0.0,0.0,0.1643835,0.06289472,0.03926672,0.0,0.048165835,0.0,0.0,0.0,1
15,0.0,0.0,0.0,0.0,0.0,0.4895445,0.05649557,0.0,0.0,0.0,0.49990493,0.2324451,0.0,0.0,0.14612816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07001422,0.0,0.8662977,0.04071558,1.0090086,0.0,0.83452,0.0,0.0,0.0,1
16,0.0,0.0,0.0,0.0,0.0,0.6681018,0.068980165,0.0,0.0,0.0,0.6367387,0.04919956,0.0,0.0,0.18427019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068273246,0.0,0.75106394,0.0,1.0215247,0.0,0.7861214,0.0,0.0,0.0,1
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.110991806,0.06662546,0.0,0.0,0.009444684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16374722,0.052880675,0.061093077,0.0,0.034969743,0.0,0.0,0.0,1
18,0.0,0.0,0.0,0.0,0.0,0.39911085,0.015970876,0.0,0.0,0.0,0.40818048,0.06568583,0.0,0.0,0.10986951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55116516,0.018267505,0.6808648,0.0,0.5433047,0.0,0.0,0.0,1
19,0.0,0.0,0.0,0.0,0.0,0.42300326,0.03871081,0.0,0.0,0.0,0.43361187,0.13706665,0.0,0.0,0.10817583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036396913,0.0,0.6400479,0.021483503,0.78240573,0.0,0.657675,0.0,0.0,0.0,1
